Model,Quantization,GPU(s),CPU(s),RAM (GB),Context Length,Total Tokens,Duration (sec),Tokens/sec,Time to Retrieve (sec),Start Type,GPU Max Power (W),Server Name,Test Link,Comment
llama3.1:8b-instruct,q4_0,"1x GTX 1050Ti 4GB","1x Intel i7",32,4000,243,37.38,6.50,105.62,Cold,-,pasha-lt,-,-
llama3.1:8b-instruct,q4_0,"1x GTX 1050Ti 4GB","1x Intel i7",32,4000,248,38.20,6.49,38.48,Warm,-,pasha-lt,-,-
llama3.1:8b-instruct,q4_0,"1x RTX 3050 8GB","2x Xeon 2960v2",128,4000,234,6.03,38.83,9.27,Cold,-,gpu01,-,-
llama3.1:8b-instruct,q4_0,"1x RTX 3050 8GB","2x Xeon 2960v2",128,4000,303,7.82,38.73,7.97,Warm,-,gpu01,-,-
llama3.1:70b-instruct,q4_0,"1x RTX 3050 8GB","2x Xeon 2960v2",128,4000,500,608.09,0.82,628.27,Cold,-,gpu01,-,-
llama3.1:70b-instruct,q4_0,"1x RTX 3050 8GB","2x Xeon 2960v2",128,4000,500,608.47,0.82,609.85,Warm,-,gpu01,-,-
llama3.1:8b-instruct,q4_0,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,4000,282,1.95,144.66,44.73,Cold,-,gpu02,-,-
llama3.1:8b-instruct,q4_0,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,4000,316,2.19,144.62,2.32,Warm,-,gpu02,-,-
llama3.1:70b-instruct,q4_0,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,4000,500,308.62,1.62,412.98,Cold,-,gpu02,-,-
llama3.1:70b-instruct,q4_0,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,4000,500,297.64,1.68,305.18,Cold,-,gpu02,-,-
llama3.1:70b-instruct,q4_0,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,4000,500,297.75,1.68,298.44,Warm,-,gpu02,-,-
llama3.1:8b-instruct,fp16,"1x Tesla P40 24GB",1x Xeon E5-2680 v4,128,4000,229,14.26,16.06,38.33,-,135,nn01,https://t.me/evilfreelancer_chat/73576,-
llama3.1:8b-instruct,q4_0,"1x Tesla P40 24GB",1x Xeon E5-2680 v4,128,4000,345,8.39,41.14,8.54,-,135,nn01,https://t.me/evilfreelancer_chat/73622,-
llama3.1:8b-instruct,q4_0,"1x Tesla P40 24GB",1x Xeon E5-2680 v4,128,4000,225,5.07,44.39,7.74,-,250,nn01,https://t.me/evilfreelancer_chat/73668,-
llama3.1:8b-instruct,q4_0,1x RTX 4060 16GB,1x Intel i7,16,4000,471,10.15,46.40,15.33,-,-,sn01,https://t.me/evilfreelancer_chat/73684,-
aya:35b-23,q4_K_M,"1x Tesla P40 24GB",1x Xeon E5-2680 v4,128,200,300,30.32,9.90,39.38,-,-,nn01,https://t.me/evilfreelancer_chat/73749,-
aya:35b-23,q4_K_M,3x RTX 4060 16GB,2х Xeon E5-2690 v1,128,4000,327,28.23,11.59,38.81,Cold,-,sn02,https://t.me/evilfreelancer_chat/73748,-
aya:35b-23,q4_K_M,3x RTX 4060 16GB,2х Xeon E5-2690 v1,128,4000,324,27.93,11.60,28.22,Warm,-,sn02,https://t.me/evilfreelancer_chat/73748,-
aya:35b-23,q4_K_M,3x RTX 4060 16GB,2х Xeon E5-2690 v1,128,200,307,26.39,11.63,45.27,-,-,sn02,https://t.me/evilfreelancer_chat/73762,-
aya:35b-23,q4_K_M,"1x RTX 4090 24GB","1x Ryzen 9 5950x",128,200,325,8.46,38.44,13.19,Cold,-,gpu02,https://t.me/evilfreelancer_chat/73763,-
llama3.1:70b-instruct,q4_0,1x RTX 8000 48GB,1x i9-13900KF,-,-,-,-,13.1,-,-,-,mn1,https://t.me/evilfreelancer_chat/74682,-
llama3.1:8b-instruct,q4_0,1x RTX 8000 48GB,1x i9-13900KF,-,-,-,-,90,-,-,-,mn1,https://t.me/evilfreelancer_chat/74682,-
mistral-small:22b-instruct-2409,q4_0,1x RTX 4060 16GB,1x Intel i7,16,200,500,24.28,20.59,29.88,Cold,-,sn01,-,-
